candidate_id,rank,score,reasoning
CAND_0066999,17,0.9000,"Recommendation Systems Engineer (5.9y); product company exp; 2 ML roles; strong technical depth; Delhi, Delhi (preferred location)"
CAND_0074225,18,0.9000,"Machine Learning Engineer (4.3y); product company exp; 2 ML roles; good technical skills; highly active; Vizag, Andhra Pradesh"
CAND_0042506,19,0.8925,"Search Engineer (4.2y); product company exp; 2 ML roles; good technical skills; highly active; Mumbai, Maharashtra (tier-1 city)"
CAND_0011162,20,0.8910,"Recommendation Systems Engineer (5.8y); product company exp; 3 ML roles; strong technical depth; Coimbatore, Tamil Nadu"
CAND_0011687,21,0.8900,"Senior NLP Engineer (7.8y); product company exp; 2 ML roles; strong technical depth; Indore, Madhya Pradesh"
CAND_0041610,22,0.8900,"Recommendation Systems Engineer (6.7y); product company exp; 4 ML roles; strong technical depth; Indore, Madhya Pradesh"
CAND_0049538,23,0.8900,"Applied ML Engineer (5.8y); product company exp; 3 ML roles; strong technical depth; highly active; Jaipur, Rajasthan"
CAND_0061655,24,0.8900,"Machine Learning Engineer (4.6y); product company exp; 2 ML roles; good technical skills; highly active; Jaipur, Rajasthan"
CAND_0086022,25,0.8900,"Senior Applied Scientist (5.3y); product company exp; 2 ML roles; strong technical depth; Kolkata, West Bengal"
CAND_0041669,26,0.8850,"Recommendation Systems Engineer (8.0y); product company exp; 3 ML roles; good technical skills; Noida, Uttar Pradesh (preferred location)"
CAND_0079064,27,0.8835,"Senior Data Scientist (5.2y); product company exp; 2 ML roles; good technical skills; Noida, Uttar Pradesh (preferred location)"
CAND_0055992,28,0.8800,AI Engineer (16.9y); product company exp; 4 ML roles; strong technical depth; Sydney
CAND_0076163,29,0.8800,"NLP Engineer (6.9y); product company exp; 2 ML roles; good technical skills; Chandigarh, Chandigarh"
CAND_0081053,30,0.8735,"NLP Engineer (5.4y); product company exp; 2 ML roles; good technical skills; Chandigarh, Chandigarh"
CAND_0078492,31,0.8725,"Recommendation Systems Engineer (5.1y); product company exp; 2 ML roles; good technical skills; Kochi, Kerala"
CAND_0087364,32,0.8700,"Recommendation Systems Engineer (4.9y); product company exp; 2 ML roles; good technical skills; Gurgaon, Haryana (preferred location)"
CAND_0010257,33,0.8660,"Senior Data Scientist (6.5y); product company exp; 3 ML roles; good technical skills; Noida, Uttar Pradesh (preferred location)"
CAND_0013536,34,0.8610,"Applied ML Engineer (14.1y); product company exp; 2 ML roles; strong technical depth; Trivandrum, Kerala"
CAND_0039838,35,0.8610,"Recommendation Systems Engineer (4.9y); product company exp; 2 ML roles; strong technical depth; Kochi, Kerala"
CAND_0074735,36,0.8610,"Applied ML Engineer (5.5y); product company exp; 3 ML roles; good technical skills; Chandigarh, Chandigarh"
CAND_0084819,37,0.8610,"Search Engineer (4.5y); product company exp; 2 ML roles; good technical skills; Indore, Madhya Pradesh"
CAND_0055905,38,0.8600,Senior Machine Learning Engineer (8.1y); product company exp; 3 ML roles; strong technical depth; London
CAND_0072660,39,0.8600,Machine Learning Engineer (7.1y); product company exp; 3 ML roles; good technical skills; highly active; Berlin
CAND_0075574,40,0.8600,"Machine Learning Engineer (5.7y); product company exp; 3 ML roles; good technical skills; Bangalore, Karnataka (tier-1 city)"
CAND_0093912,41,0.8600,"Senior Data Scientist (5.3y); product company exp; 3 ML roles; strong technical depth; Chandigarh, Chandigarh"
CAND_0089947,42,0.8570,"Junior ML Engineer (5.4y); product company exp; 2 ML roles; strong technical depth; highly active; Noida, Uttar Pradesh (preferred location)"
CAND_0006557,43,0.8550,"NLP Engineer (7.9y); product company exp; 2 ML roles; good technical skills; Jaipur, Rajasthan"
CAND_0086151,44,0.8550,"Recommendation Systems Engineer (7.7y); product company exp; 3 ML roles; strong technical depth; Vizag, Andhra Pradesh"
CAND_0020877,45,0.8500,"Applied ML Engineer (5.1y); product company exp; 2 ML roles; good technical skills; Gurgaon, Haryana (preferred location)"
CAND_0042029,46,0.8500,"Senior Data Scientist (6.5y); product company exp; 2 ML roles; strong technical depth; Delhi, Delhi (preferred location)"
CAND_0009024,47,0.8450,"Search Engineer (5.2y); product company exp; 2 ML roles; good technical skills; Chennai, Tamil Nadu (tier-1 city)"
CAND_0026532,48,0.8450,"Recommendation Systems Engineer (4.8y); product company exp; 2 ML roles; strong technical depth; Chennai, Tamil Nadu (tier-1 city)"
CAND_0042100,49,0.8435,Machine Learning Engineer (7.3y); product company exp; 2 ML roles; good technical skills; Singapore
CAND_0052328,50,0.8425,"Recommendation Systems Engineer (6.5y); product company exp; 2 ML roles; good technical skills; Pune, Maharashtra (preferred location)"
CAND_0081852,51,0.8425,"Senior Data Scientist (5.9y); product company exp; 2 ML roles; good technical skills; highly active; Delhi, Delhi (preferred location)"
CAND_0094759,52,0.8425,"Lead AI Engineer (8.6y); product company exp; 3 ML roles; good technical skills; Mumbai, Maharashtra (tier-1 city)"
CAND_0044855,53,0.8400,"Senior Data Scientist (6.6y); product company exp; 3 ML roles; strong technical depth; Coimbatore, Tamil Nadu"
CAND_0060054,54,0.8400,"AI Engineer (6.4y); product company exp; 3 ML roles; good technical skills; Jaipur, Rajasthan"
CAND_0095528,55,0.8400,"Senior Data Scientist (5.3y); product company exp; 2 ML roles; good technical skills; Indore, Madhya Pradesh"
CAND_0036184,56,0.8375,"Recommendation Systems Engineer (6.0y); product company exp; 2 ML roles; strong technical depth; highly active; Trivandrum, Kerala"
CAND_0056881,57,0.8340,"Machine Learning Engineer (4.5y); product company exp; 2 ML roles; good technical skills; Trivandrum, Kerala"
CAND_0003575,58,0.8325,"Data Scientist (3.7y); product company exp; 2 ML roles; strong technical depth; highly active; Ahmedabad, Gujarat"
CAND_0062247,59,0.8325,"AI Engineer (7.3y); product company exp; 2 ML roles; good technical skills; Kochi, Kerala"
CAND_0015528,60,0.8300,"Applied ML Engineer (7.4y); product company exp; 3 ML roles; good technical skills; Coimbatore, Tamil Nadu"
CAND_0075439,61,0.8300,"Machine Learning Engineer (4.3y); product company exp; 2 ML roles; strong technical depth; Vizag, Andhra Pradesh"
CAND_0096172,62,0.8300,"NLP Engineer (5.2y); product company exp; 2 ML roles; good technical skills; Chennai, Tamil Nadu (tier-1 city)"
CAND_0027801,63,0.8275,"NLP Engineer (7.4y); product company exp; 3 ML roles; good technical skills; Hyderabad, Telangana (tier-1 city)"
CAND_0064904,64,0.8270,"AI Engineer (4.9y); product company exp; 2 ML roles; strong technical depth; Hyderabad, Telangana (tier-1 city)"
CAND_0014440,65,0.8250,"Recommendation Systems Engineer (6.4y); product company exp; 3 ML roles; good technical skills; Chennai, Tamil Nadu (tier-1 city)"
CAND_0043228,66,0.8225,"Applied ML Engineer (6.8y); product company exp; 3 ML roles; good technical skills; highly active; Chennai, Tamil Nadu (tier-1 city)"
CAND_0045250,67,0.8225,"Applied ML Engineer (6.6y); product company exp; 2 ML roles; strong technical depth; Delhi, Delhi (preferred location)"
CAND_0025640,68,0.8200,"AI Research Engineer (5.6y); product company exp; 2 ML roles; good technical skills; Jaipur, Rajasthan"
CAND_0058688,69,0.8200,AI Engineer (6.7y); product company exp; 2 ML roles; strong technical depth; Berlin
CAND_0079284,70,0.8200,"Machine Learning Engineer (4.9y); product company exp; 2 ML roles; good technical skills; Hyderabad, Telangana (tier-1 city)"
CAND_0047327,71,0.8150,"Junior ML Engineer (5.0y); product company exp; 3 ML roles; good technical skills; Gurgaon, Haryana (preferred location)"
CAND_0061265,72,0.8135,"Recommendation Systems Engineer (6.6y); product company exp; 3 ML roles; strong technical depth; Delhi, Delhi (preferred location)"
CAND_0099401,73,0.8120,"NLP Engineer (7.7y); product company exp; 4 ML roles; strong technical depth; highly active; Ahmedabad, Gujarat"
CAND_0057563,74,0.8100,"NLP Engineer (6.8y); product company exp; 3 ML roles; good technical skills; Indore, Madhya Pradesh"
CAND_0008425,75,0.8075,"Senior NLP Engineer (7.8y); product company exp; 3 ML roles; good technical skills; Kolkata, West Bengal"
CAND_0046525,76,0.8075,"Senior Machine Learning Engineer (6.1y); product company exp; 2 ML roles; good technical skills; highly active; Pune, Maharashtra (preferred location)"
CAND_0083307,77,0.8075,"Search Engineer (7.8y); product company exp; 4 ML roles; strong technical depth; Vizag, Andhra Pradesh"
CAND_0024620,78,0.8050,AI Engineer (5.9y); product company exp; 3 ML roles; good technical skills; New York
CAND_0029367,79,0.8025,"Senior Data Scientist (5.7y); product company exp; 3 ML roles; good technical skills; highly active; Bangalore, Karnataka (tier-1 city)"
CAND_0079387,80,0.8025,"AI Engineer (6.9y); product company exp; 4 ML roles; good technical skills; Trivandrum, Kerala"
CAND_0008239,81,0.8000,"AI Engineer (4.0y); product company exp; good technical skills; Jaipur, Rajasthan"
CAND_0051630,82,0.7980,"Machine Learning Engineer (6.0y); product company exp; 2 ML roles; strong technical depth; Kolkata, West Bengal"
CAND_0053591,83,0.7975,AI Engineer (5.3y); product company exp; 2 ML roles; strong technical depth; Toronto
CAND_0005649,84,0.7950,"Senior Data Scientist (7.4y); product company exp; 4 ML roles; good technical skills; Delhi, Delhi (preferred location)"
CAND_0027691,85,0.7950,"NLP Engineer (6.5y); product company exp; 3 ML roles; strong technical depth; Pune, Maharashtra (preferred location)"
CAND_0041568,86,0.7950,Search Engineer (5.2y); product company exp; 3 ML roles; good technical skills; Sydney
CAND_0051004,87,0.7950,"Senior Data Scientist (4.7y); product company exp; 2 ML roles; strong technical depth; Delhi, Delhi (preferred location)"
CAND_0064270,88,0.7950,"Applied ML Engineer (4.2y); product company exp; 2 ML roles; strong technical depth; Pune, Maharashtra (preferred location)"
CAND_0071939,89,0.7950,"Data Scientist (6.4y); product company exp; 2 ML roles; strong technical depth; Pune, Maharashtra (preferred location)"
CAND_0076904,90,0.7950,Senior Data Scientist (4.2y); product company exp; 2 ML roles; good technical skills; London
CAND_0039383,91,0.7935,"Applied ML Engineer (7.1y); product company exp; 3 ML roles; good technical skills; Gurgaon, Haryana (preferred location)"
CAND_0060072,92,0.7915,"Staff Machine Learning Engineer (5.7y); product company exp; 2 ML roles; strong technical depth; Indore, Madhya Pradesh"
CAND_0037944,93,0.7900,"Senior Data Scientist (4.9y); product company exp; 2 ML roles; strong technical depth; Jaipur, Rajasthan"
CAND_0007460,94,0.7875,"AI Engineer (4.7y); product company exp; strong technical depth; highly active; Pune, Maharashtra (preferred location)"
CAND_0095619,95,0.7875,"NLP Engineer (15.6y); product company exp; good technical skills; Mumbai, Maharashtra (tier-1 city)"
CAND_0054123,96,0.7850,"Applied ML Engineer (4.7y); product company exp; 2 ML roles; good technical skills; Gurgaon, Haryana (preferred location)"
CAND_0068456,97,0.7850,"Data Scientist (4.8y); product company exp; 2 ML roles; good technical skills; highly active; Chennai, Tamil Nadu (tier-1 city)"
CAND_0089552,98,0.7755,"Machine Learning Engineer (6.0y); product company exp; 2 ML roles; good technical skills; Kolkata, West Bengal"
CAND_0088025,99,0.7735,"Staff Machine Learning Engineer (8.6y); product company exp; 3 ML roles; good technical skills; Jaipur, Rajasthan"
CAND_0007052,100,0.7725,"ML Engineer (6.5y); product company exp; 3 ML roles; good technical skills; Pune, Maharashtra (preferred location)"
